SITE#,PI Number,SITE  NAME,STREET,TOWN,Latitude,Longitude,RP (Responsible Party) CATEGORY,Address
183.0,G000011475,Sludge Line 1,Sludge Line between Randolph St,Jersey City,40.72157,-74.047455,Honeywell,"Sludge Line between Randolph St, Jersey City, New Jersey"
184.0,000015,"M.I. Holdings, Inc.",223 West Side Avenue,Jersey City,40.71151,-74.09323,Honeywell,"223 West Side Avenue, Jersey City, New Jersey"
185.0,G000011476,Allied Stockpile,Jersey Avenue,Jersey City,40.724198,-74.045629,Honeywell,"Jersey Avenue, Jersey City, New Jersey"
186.0,,Garfield Avenue #1,947 Garfield Avenue,Jersey City,40.71102,-74.07036,PPG,"947 Garfield Avenue, Jersey City, New Jersey"
187.0,G000011679,Route 440 Median Strip,Route 440 between Danforth and,Jersey City,40.710426,-74.1018,Honeywell/PPG,"Route 440 between Danforth and, Jersey City, New Jersey"
188.0,G000011680,Sussex Street #1,Sussex Street (West of Warren),Jersey City,40.72157,-74.047455,Honeywell/PPG,"Sussex Street (West of Warren), Jersey City, New Jersey"
189.0,G000026751,Henderson Street #1,Henderson and Second Street,Jersey City,40.72157,-74.047455,Honeywell/PPG,"Henderson and Second Street, Jersey City, New Jersey"
190.0,,Bayonne Durable Construction C,195 East 22nd Street,Bayonne,40.660154,-74.109324,Not a Site,"195 East 22nd Street, Bayonne, New Jersey"
191.0,,Port Imperial Marina,1 Pershing Road,Weehawken,40.771238,-74.013357,Developer/Owner,"1 Pershing Road, Weehawken, New Jersey"
192.0,,NJ Turnpike Newark #1,Eastern Spur at Piers 1OS and 11,Newark,40.733185,-74.1735,NJ Turnpike Authority,"Eastern Spur at Piers 1OS and 11, Newark, New Jersey"
193.0,,McWhirter Road #1,McWhirter Road and Sellers Stree,Kearny,40.766719,-74.132705,Occidental Chemical,"McWhirter Road and Sellers Stree, Kearny, New Jersey"
194.0,,DEMILLE CHEMICAL CORPORA,103-111 Fairmount Avenue,Jersey City,40.71916,-74.06489,Not a Site,"103-111 Fairmount Avenue, Jersey City, New Jersey"
195.0,,Belleville Turnpike #1,Belleville Turnpike and NJ Transit,Kearny,40.764782,-74.148186,Occidental Chemical,"Belleville Turnpike and NJ Transit, Kearny, New Jersey"
196.0,G000044578,POTW Outfall Line,Former CRRNJ Freight Yard at LS,Jersey City,40.72157,-74.047455,Honeywell/PPG,"Former CRRNJ Freight Yard at LS, Jersey City, New Jersey"
197.0,G000044586,Grand Street,Grand Street between Washington,Jersey City,40.72157,-74.047455,Honeywell/PPG,"Grand Street between Washington, Jersey City, New Jersey"
198.0,G000044580,Hartz Mountain #1,Land Behind Hartz Mountain Buildi,Jersey City,40.740921,-74.044493,Honeywell/PPG,"Land Behind Hartz Mountain Buildi, Jersey City, New Jersey"
199.0,G000044581,Sludge Line 2,Sludge Line Between Garfield Ave,Jersey City,40.698928,-74.081799,Honeywell/PPG,"Sludge Line Between Garfield Ave, Jersey City, New Jersey"
200.0,G000044582,Sludge Line 3,Sludge Line Between Arlington  Av,Jersey City,40.72157,-74.047455,Honeywell/PPG,"Sludge Line Between Arlington  Av, Jersey City, New Jersey"
201.0,,NJ Turnpike Kearny #2,Belleville Turnpike & NJ Turnpike (,Kearny,40.749244,-74.118162,Occidental Chemical,"Belleville Turnpike & NJ Turnpike (, Kearny, New Jersey"
202.0,,Gaven Point Realty,Between Pacific Street and NJ,Jersey City,40.72157,-74.047455,PPG,"Between Pacific Street and NJ, Jersey City, New Jersey"
203.0,,346 Claremont Associates,"NJ Transit Light Rail, 200' East of",Jersey City,40.72157,-74.047455,PPG,"NJ Transit Light Rail, 200' East of, Jersey City, New Jersey"
204.0,,Conrail Edgewater Branch,West side of NJ Turnpike at the fo,Jersey City,40.72157,-74.047455,PPG,"West side of NJ Turnpike at the fo, Jersey City, New Jersey"
205.0,G000044587,Urban Redevelopment Partners,NW corner of 1st Street & Washin,Jersey City,40.72157,-74.047455,Honeywell/PPG,"NW corner of 1st Street & Washin, Jersey City, New Jersey"
206.0,G000008288,Polarome International,200 Theodore Conrad Drive,Jersey City,40.701143,-74.063488,Honeywell,"200 Theodore Conrad Drive, Jersey City, New Jersey"
207.0,,Garfield Avenue #2,"942, 944 & 946 Garfield Avenue",Jersey City,40.698928,-74.081799,PPG,"942, 944 & 946 Garfield Avenue, Jersey City, New Jersey"
208.0,,Ultramar Petroleum #2,Linden Avenue East,Jersey City,40.6824,-74.07137,PPG,"Linden Avenue East, Jersey City, New Jersey"
209.0,,Joe's Welding,25 O'Brien Road,Kearny,40.768411,-74.133548,Occidental Chemical,"25 O'Brien Road, Kearny, New Jersey"
210.0,,Ace Trucking,21 Hackensack  Avenue,Kearny,40.730689,-74.105261,Occidental Chemical,"21 Hackensack  Avenue, Kearny, New Jersey"
211.0,,PSE&G West End Gas Plant,444 St. Pauls Avenue,Jersey City,40.740386,-74.071732,Multi-contaminant site,"444 St. Pauls Avenue, Jersey City, New Jersey"
212.0,,Fairmount Chemical,117 Blanchard Street,Newark,40.738503,-74.128688,Multi-contaminant site,"117 Blanchard Street, Newark, New Jersey"
